player,season,week,team,position_group,Updated,Injury,Injury Status,severity
P. MekariPatrick Mekari,2025,14,JAX,OL,"Mon, Dec 1",Concussion,Full Practice on Thursday. Questionable for Week 14 vs. Indianapolis,questionable
W. LittleWalker Little,2025,14,JAX,OL,"Sun, Nov 30",Concussion,Did Not Practice on Thursday. Questionable for Week 14 vs. Indianapolis,out
P. WashingtonParker Washington,2025,14,JAX,WR_TE,"Sun, Nov 30",Hip,Limited Practice on Thursday. Questionable for Week 14 vs. Indianapolis,questionable
J. TaylorJawaan Taylor,2025,14,KC,OL,"Wed, Dec 3",Triceps,Did Not Practice on Thursday. Questionable for Week 14 vs. Houston,questionable
T. SmithTrey Smith,2025,14,KC,OL,"Mon, Dec 1",Ankle,Did Not Practice on Thursday. Questionable for Week 14 vs. Houston,questionable
Q. JohnstonQuentin Johnston,2025,14,LAC,WR_TE,"Thu, Dec 4",Shoulder,Limited Practice on Thursday. Questionable for Week 14 vs. Philadelphia,questionable
T. PipkinsTrey Pipkins,2025,14,LAC,OL,"Thu, Dec 4",Back,Questionable for Week 14 vs. Philadelphia,questionable
J. HerbertJustin Herbert,2025,14,LAC,QB,"Sun, Nov 30",Hand,Limited Practice on Thursday. Questionable for Week 14 vs. Philadelphia,questionable
O. HamptonOmarion Hampton,2025,14,LAC,RB,"Fri, Nov 28",Ankle,IR. Injured Reserve. Expected Return - Week 14,ir
P. FordPoona Ford,2025,14,LAR,FRONT7,"Wed, Dec 3",Calf,Did Not Practice on Thursday. Questionable for Week 14 at Arizona,questionable
D. WilliamsDarious Williams,2025,14,LAR,DB,"Wed, Dec 3",Lower Leg,Did Not Practice on Thursday. Questionable for Week 14 at Arizona,questionable
K. KinchensKamren Kinchens,2025,14,LAR,DB,"Wed, Dec 3",Shoulder,Limited Practice on Thursday. Questionable for Week 14 at Arizona,questionable
B. YoungByron Young,2025,14,LAR,FRONT7,"Wed, Dec 3",Knee,Limited Practice on Wednesday. Questionable for Week 14 at Arizona,questionable
K. WilliamsKyren Williams,2025,14,LAR,RB,"Wed, Dec 3",Ankle,Limited Practice on Wednesday. Questionable for Week 14 at Arizona,questionable
D. AdamsDavante Adams,2025,14,LAR,WR_TE,"Wed, Dec 3",Hamstring,Limited Practice on Thursday. Questionable for Week 14 at Arizona,questionable
T. AtwellTutu Atwell,2025,14,LAR,WR_TE,"Sat, Nov 29",Hamstring,IR. Injured Reserve. Expected Return - Week 14,ir
J. AdamsJamal Adams,2025,14,LV,FRONT7,"Thu, Dec 4",Knee,Did Not Practice on Thursday. Questionable for Week 14 vs. Denver,questionable
D. ParhamDylan Parham,2025,14,LV,OL,"Wed, Dec 3",Back,Limited Practice on Thursday. Questionable for Week 14 vs. Denver,questionable
M. CrosbyMaxx Crosby,2025,14,LV,FRONT7,"Wed, Dec 3",Knee,Did Not Practice on Thursday. Questionable for Week 14 vs. Denver,questionable
K. MillerKolton Miller,2025,14,LV,OL,"Sun, Nov 30",Ankle,IR. Injured Reserve. Expected Return - Week 14,ir
D. Thornton Jr.Dont'e Thornton Jr.,2025,14,LV,WR_TE,"Sun, Nov 30",Concussion,Did Not Practice on Thursday. Questionable for Week 14 vs. Denver,out
A. BrewerAaron Brewer,2025,14,MIA,OL,"Thu, Dec 4",Ankle,Limited Practice on Thursday. Questionable for Week 14 at N.Y. Jets,questionable
L. EichenbergLiam Eichenberg,2025,14,MIA,OL,"Sun, Nov 30",Undisclosed,Physically Unable to Perform. Expected Return - Week 14,pup
J. DanielsJames Daniels,2025,14,MIA,OL,"Sun, Nov 30",Pectoral,IR. Injured Reserve. Expected Return - Week 14,ir
C. DarrisawChristian Darrisaw,2025,14,MIN,OL,"Thu, Dec 4",Knee,Did Not Practice on Thursday. Questionable for Week 14 vs. Washington,questionable
J. MetellusJosh Metellus,2025,14,MIN,DB,"Wed, Dec 3",Shoulder,Questionable for Week 14 vs. Washington,questionable
J. GreenardJonathan Greenard,2025,14,MIN,FRONT7,"Wed, Dec 3",Shoulder,Limited Practice on Thursday. Questionable for Week 14 vs. Washington,questionable
D. JacksonDonovan Jackson,2025,14,MIN,OL,"Mon, Dec 1",Ankle,Limited Practice on Thursday. Questionable for Week 14 vs. Washington,questionable
A. JonesAaron Jones,2025,14,MIN,RB,"Sun, Nov 30",Shoulder,Limited Practice on Thursday. Questionable for Week 14 vs. Washington,questionable
B. SchoolerBrenden Schooler,2025,14,NE,DB,"Tue, Dec 2",Ankle,Questionable for Week 15 vs. Buffalo,questionable
J. WilsonJared Wilson,2025,14,NE,OL,"Tue, Dec 2",Ankle,Questionable for Week 15 vs. Buffalo,questionable
T. FuagaTaliese Fuaga,2025,14,NO,OL,"Wed, Dec 3",Ankle,Did Not Practice on Thursday. Questionable for Week 14 at Tampa Bay,out
C. OlaveChris Olave,2025,14,NO,WR_TE,"Wed, Dec 3",Back,Limited Practice on Thursday. Questionable for Week 14 at Tampa Bay,questionable
A. KamaraAlvin Kamara,2025,14,NO,RB,"Mon, Dec 1",Knee - MCL,Did Not Practice on Thursday. Questionable for Week 14 at Tampa Bay,out
T. PalmerTrey Palmer,2025,14,NO,WR_TE,"Sun, Nov 30",Ankle,IR. Injured Reserve. Expected Return - Week 14,ir
J. ReidJustin Reid,2025,14,NO,SS,"Sun, Nov 30",Knee,Did Not Practice on Thursday. Questionable for Week 14 at Tampa Bay,out
K. ThibodeauxKayvon Thibodeaux,2025,14,NYG,FRONT7,"Tue, Dec 2",Shoulder,Questionable for Week 15 vs. Washington,questionable
T. Tracy Jr.Tyrone Tracy Jr.,2025,14,NYG,RB,"Mon, Dec 1",Hip,Questionable for Week 15 vs. Washington,questionable
J. Johnson IIJermaine Johnson II,2025,14,NYJ,FRONT7,"Wed, Dec 3",Ankle,Questionable for Week 14 vs. Miami,questionable
B. AllenBraelon Allen,2025,14,NYJ,RB,"Sun, Nov 30",Knee - MCL,IR. Injured Reserve. Expected Return - Week 14,ir
M. EppsMarcus Epps,2025,14,PHI,DB,"Thu, Dec 4",Shoulder,IR. Injured Reserve. Expected Return - Week 14,ir
J. PhillipsJaelan Phillips,2025,14,PHI,FRONT7,"Thu, Dec 4",Concussion,Limited Practice on Thursday. Questionable for Week 14 at L.A. Chargers,questionable
J. CarterJalen Carter,2025,14,PHI,FRONT7,"Thu, Dec 4",Shoulder,Did Not Practice on Thursday. Doubtful for Week 14 at L.A. Chargers,doubtful
Z. BaunZack Baun,2025,14,PHI,FRONT7,"Thu, Dec 4",Hand,Limited Practice on Thursday. Questionable for Week 14 at L.A. Chargers,questionable
J. DotsonJahan Dotson,2025,14,PHI,WR_TE,"Thu, Dec 4",Toe,Limited Practice on Thursday. Questionable for Week 14 at L.A. Chargers,questionable
L. JohnsonLane Johnson,2025,14,PHI,OL,"Mon, Dec 1",Foot,Did Not Practice on Thursday. Questionable for Week 14 at L.A. Chargers,questionable
A. OjulariAzeez Ojulari,2025,14,PHI,FRONT7,"Sat, Nov 1",Hamstring,IR. Injured Reserve. Expected Return - Week 14,ir
K. DuggerKyle Dugger,2025,14,PIT,DB,"Thu, Dec 4",Hand,Did Not Practice on Thursday. Questionable for Week 14 at Baltimore,out
