player,season,week,team,position_group,Updated,Injury,Injury Status,severity
D.LondonDrake London,2025,15,ATL,WR_TE,,,,out
T. AndersenTroy Andersen,2025,15,ATL,FRONT7,"Tue, Dec 9",Knee,Physically Unable to Perform. Expected Return - Week 16,pup
J.WalkerJalon Walker,2025,15,ATL,FRONT7,,,,questionable
B. BredesonBen Bredeson,2025,15,TB,OL,"Thu, Dec 11",Knee,IR. Injured Reserve,out
T.SmithTykee Smith,2025,15,TB,DB,,,,doubtful
