season,week,game_id,home_team,away_team,vegas_spread,vegas_total,home_moneyline,away_moneyline,home_implied_prob
2022,1,18006,LAR,BUF,1.5,52.0,109.0,-130.0,0.4584412995814232
2022,1,18007,ATL,NO,5.5,44.0,199.0,-240.0,0.32148260211800306
2022,1,18008,CHI,SF,6.5,37.5,229.0,-281.0,0.2918444415506821
2022,1,18009,CIN,PIT,-7.0,44.5,-321.0,255.0,0.7302233187017398
2022,1,18010,DET,PHI,5.5,48.5,200.0,-242.0,0.32022471910112354
2022,1,18011,MIA,NE,-3.0,46.0,-168.0,141.0,0.6017120437522292
2022,1,18012,NYJ,BAL,6.5,44.0,243.0,-300.0,0.27991602519244224
2022,1,18013,WAS,JAX,-3.0,44.0,-155.0,130.0,0.5829926410466066
2022,1,18014,CAR,CLE,-1.5,41.5,-124.0,105.0,0.5315767461313258
2022,1,18015,HOU,IND,7.0,45.5,260.0,-322.0,0.26688590943587154
2022,1,18016,TEN,NYG,-5.5,44.0,-240.0,199.0,0.678517397881997
2022,1,18017,MIN,GB,-1.5,46.5,-127.0,106.0,0.5354263026482748
2022,1,18018,ARI,KC,6.0,53.5,212.0,-258.0,0.3078351791979088
2022,1,18019,LAC,LV,-3.5,52.5,-186.0,155.0,0.6238326976193608
2022,1,18020,DAL,TB,2.5,50.0,114.0,-136.0,0.44778384942319366
2022,1,18021,SEA,DEN,6.0,44.0,227.0,-277.0,0.2938906602015918
