season,week,game_id,home_team,away_team,vegas_spread,vegas_total,home_moneyline,away_moneyline,home_implied_prob
2022,5,17997,GB,NYG,-9.5,42.0,-435.0,336.0,0.7799802599111696
2022,5,18164,DEN,IND,-3.0,42.0,-180.0,151.0,0.617381798305548
2022,5,18165,BUF,PIT,-14.0,44.5,-898.0,611.0,0.8648205689455734
2022,5,18166,CLE,LAC,1.5,47.0,102.0,-122.0,0.4739134147382802
2022,5,18167,MIN,CHI,-8.5,44.0,-384.0,302.0,0.7613035587469423
2022,5,18168,NE,DET,-3.0,46.0,-155.0,131.0,0.5840469782236358
2022,5,18169,NO,SEA,-5.5,45.0,-229.0,189.0,0.6679484462207688
2022,5,18170,NYJ,MIA,3.0,46.0,144.0,-174.0,0.3922354557947778
2022,5,18171,TB,ATL,-10.0,46.5,-506.0,383.0,0.8013101725257215
2022,5,18172,WAS,TEN,0.5,43.0,-108.0,-111.0,0.49673031650536237
2022,5,18173,JAX,HOU,-7.0,43.5,-320.0,258.0,0.7317322432294328
2022,5,18174,CAR,SF,6.0,40.0,210.0,-255.0,0.3099083369707551
2022,5,18175,LAR,DAL,-5.0,42.0,-232.0,192.0,0.6711047709621176
2022,5,18176,ARI,PHI,5.5,48.5,192.0,-234.0,0.3283265177728846
2022,5,18177,BAL,CIN,-3.0,47.5,-166.0,140.0,0.5996387718242023
2022,5,18178,KC,LV,-7.0,51.5,-351.0,278.0,0.7463128171089786
