season,week,game_id,home_team,away_team,vegas_spread,vegas_total,home_moneyline,away_moneyline,home_implied_prob
2025,5,19045,CLE,MIN,3.5,35.5,161.0,-191.0,0.36858304517992174
2025,5,19130,LAR,SF,-8.5,44.0,-445.0,351.0,0.7864378220576422
2025,5,19131,BAL,HOU,2.5,41.5,120.0,-141.0,0.4372278664731495
2025,5,19132,CAR,MIA,1.0,44.0,-102.0,-118.0,0.4826358742837298
2025,5,19133,IND,LV,-7.5,46.5,-353.0,279.0,0.7470503163267016
2025,5,19134,NO,NYG,-2.5,41.5,-134.0,113.0,0.5494975164606677
2025,5,19135,NYJ,DAL,-1.5,47.0,-125.0,106.0,0.533678756476684
2025,5,19136,PHI,DEN,-4.0,44.0,-220.0,183.0,0.6605134733715256
2025,5,19137,ARI,TEN,-7.5,41.5,-437.0,339.0,0.7813010348492933
2025,5,19138,SEA,TB,-3.5,44.5,-195.0,165.0,0.6365876193409301
2025,5,19139,CIN,DET,9.5,49.0,405.0,-544.0,0.18990327907525362
2025,5,19140,LAC,WAS,-3.0,48.0,-167.0,142.0,0.6021694430372203
2025,5,19141,BUF,NE,-7.5,49.5,-436.0,343.0,0.7827743284646684
2025,5,19142,JAX,KC,3.5,45.5,165.0,-197.0,0.3626152249557414
