season,week,game_id,home_team,away_team,vegas_spread,vegas_total,home_moneyline,away_moneyline,home_implied_prob
2022,4,17996,NO,MIN,4.0,41.5,172.0,-204.0,0.35394932935916545
2022,4,18005,TB,KC,-2.0,47.0,-127.0,107.0,0.5366306721917165
2022,4,18261,CIN,MIA,-4.0,48.5,-199.0,167.0,0.6399022075560319
2022,4,18262,ATL,CLE,1.0,48.5,-101.0,-120.0,0.47949935261113513
2022,4,18263,DAL,WAS,-3.0,41.0,-164.0,138.0,0.5965276928719893
2022,4,18264,DET,SEA,-3.0,48.5,-180.0,150.0,0.6164383561643836
2022,4,18265,IND,TEN,-4.0,43.0,-202.0,169.0,0.6427642007144716
2022,4,18266,NYG,CHI,-3.0,39.0,-152.0,128.0,0.578989574979952
2022,4,18267,PHI,JAX,-6.5,44.0,-284.0,232.0,0.7105993006149764
2022,4,18268,PIT,NYJ,-3.0,41.5,-169.0,142.0,0.6032331337207587
2022,4,18269,BAL,BUF,3.5,50.0,145.0,-173.0,0.3917629331993973
2022,4,18270,HOU,LAC,5.5,45.0,200.0,-240.0,0.32075471698113206
2022,4,18271,CAR,ARI,-1.0,43.5,-114.0,-105.0,0.5098167539267016
2022,4,18272,GB,NE,-9.5,40.5,-470.0,357.0,0.79027925972258
2022,4,18273,LV,DEN,-2.5,45.5,-146.0,123.0,0.5696140522761468
2022,4,18274,SF,LAR,-1.5,42.0,-124.0,105.0,0.5315767461313258
