season,week,game_id,home_team,away_team,vegas_spread,vegas_total,home_moneyline,away_moneyline,home_implied_prob
2022,2,17995,KC,LAC,-4.0,52.5,-202.0,168.0,0.6419085562511857
2022,2,18001,BUF,TEN,-10.0,47.0,-452.0,353.0,0.7876563726169045
2022,2,18002,PHI,MIN,-3.0,49.5,-149.0,125.0,0.5738125802310654
2022,2,18022,CLE,NYJ,-6.5,38.5,-265.0,218.0,0.697772625652066
2022,2,18023,NO,TB,2.5,43.5,122.0,-145.0,0.4321749867701534
2022,2,18024,NYG,CAR,1.0,43.5,-103.0,-116.0,0.4858066206655603
2022,2,18025,PIT,NE,3.0,40.0,125.0,-151.0,0.4248836225137536
2022,2,18026,JAX,IND,3.0,43.5,137.0,-163.0,0.40504535583927553
2022,2,18027,BAL,MIA,-3.5,43.5,-178.0,149.0,0.6145420260114804
2022,2,18028,SF,SEA,-8.5,39.5,-392.0,307.0,0.7643046027670257
2022,2,18029,DEN,HOU,-10.0,45.5,-498.0,383.0,0.8008883443100016
2022,2,18030,LV,ARI,-5.5,52.0,-237.0,193.0,0.6732628149814331
2022,2,18031,GB,CHI,-10.5,42.0,-489.0,369.0,0.7956571063797309
2022,2,18242,DET,WAS,0.5,48.5,-106.0,-113.0,0.4923674110258199
2022,2,18243,LAR,ATL,-10.5,46.0,-501.0,378.0,0.7993844674842612
2022,2,18244,DAL,CIN,7.0,42.0,270.0,-341.0,0.2590004111117637
