season,week,game_id,home_team,away_team,vegas_spread,vegas_total,home_moneyline,away_moneyline,home_implied_prob
2025,10,19044,GB,PHI,1.0,45.0,-108.0,-111.0,0.49673031650536237
2025,10,19050,IND,ATL,-6.5,48.5,-285.0,234.0,0.7120203455755852
2025,10,19184,DEN,LV,-8.5,42.5,-453.0,352.0,0.7873534930937952
2025,10,19185,CAR,NO,-5.0,38.0,-246.0,204.0,0.6836831712133401
2025,10,19186,CHI,NYG,-4.5,44.5,-222.0,186.0,0.6635037411695858
2025,10,19187,HOU,JAX,-1.0,37.5,-118.0,-102.0,0.5173641257162701
2025,10,19188,MIA,BUF,7.5,50.0,344.0,-439.0,0.21662594045399008
2025,10,19189,MIN,BAL,4.5,49.0,194.0,-235.0,0.32654254800662835
2025,10,19190,NYJ,CLE,1.5,37.5,109.0,-130.0,0.4584412995814232
2025,10,19191,TB,NE,-2.5,47.5,-150.0,127.0,0.5766299745977985
2025,10,19192,SEA,ARI,-7.0,44.5,-363.0,291.0,0.7540282522193239
2025,10,19193,SF,LAR,6.0,49.5,215.0,-262.0,0.30489345573991405
2025,10,19194,WAS,DET,8.0,48.5,344.0,-437.0,0.216770005812827
2025,10,19195,LAC,PIT,-3.5,45.5,-187.0,158.0,0.6270111506770982
