season,week,game_id,home_team,away_team,vegas_spread,vegas_total,home_moneyline,away_moneyline,home_implied_prob
2024,4,18717,DET,SEA,-4.5,47.0,-221.0,183.0,0.6608307006329046
2024,4,18718,MIA,TEN,-2.5,37.5,-151.0,127.0,0.5772773969718915
2024,4,18719,BAL,BUF,-2.5,47.5,-144.0,122.0,0.5671302866874822
2024,4,18720,LAC,KC,7.0,41.5,256.0,-319.0,0.26951577214017397
2024,4,18721,LV,CLE,2.5,37.0,124.0,-150.0,0.42662116040955633
2024,4,18722,ARI,WAS,-3.5,48.5,-182.0,152.0,0.6192482177576151
2024,4,18723,SF,NE,-10.5,42.0,-571.0,423.0,0.8165328258593016
2024,4,18724,ATL,NO,-2.5,42.5,-148.0,125.0,0.5731497418244406
2024,4,18725,CAR,CIN,5.0,46.5,186.0,-224.0,0.33587659645048934
2024,4,18726,CHI,LAR,-3.0,40.5,-168.0,142.0,0.6027039848197344
2024,4,18727,GB,MIN,-2.5,44.0,-144.0,121.0,0.5660216277746158
2024,4,18728,HOU,JAX,-5.5,44.5,-251.0,205.0,0.6856387980833819
2024,4,18729,IND,PIT,2.5,41.0,121.0,-144.0,0.4339783722253842
2024,4,18730,NYJ,DEN,-8.0,39.5,-405.0,319.0,0.7706578260178478
2024,4,18731,TB,PHI,1.0,42.0,-103.0,-117.0,0.48481627695110846
2024,4,18732,NYG,DAL,5.5,45.0,199.0,-242.0,0.3209519698192534
