season,week,game_id,home_team,away_team,vegas_spread,vegas_total,home_moneyline,away_moneyline,home_implied_prob
2025,8,19171,LAC,MIN,-3.5,44.5,-179.0,151.0,0.6169108459542216
2025,8,19172,ATL,MIA,-7.0,44.0,-348.0,279.0,0.7464514522445838
2025,8,19173,BAL,CHI,-2.5,45.0,-147.0,124.0,0.5713889081696397
2025,8,19174,CAR,BUF,7.0,47.5,304.0,-389.0,0.23731412819815972
2025,8,19175,CIN,NYJ,-5.5,43.5,-253.0,210.0,0.689615756616548
2025,8,19176,HOU,SF,-3.0,41.0,-157.0,134.0,0.5883916845510747
2025,8,19177,NE,CLE,-7.0,40.5,-357.0,279.0,0.7475179969392772
2025,8,19178,PHI,NYG,-7.0,43.0,-372.0,296.0,0.7573414493707329
2025,8,19179,NO,TB,3.5,45.5,173.0,-206.0,0.352380294341187
2025,8,19180,DEN,DAL,-3.5,51.5,-203.0,171.0,0.6448372463751129
2025,8,19181,IND,TEN,-14.5,47.5,-1379.0,811.0,0.8946707981731544
2025,8,19182,PIT,GB,2.5,45.5,128.0,-151.0,0.4216503158177664
2025,8,19183,KC,WAS,-10.5,48.0,-631.0,461.0,0.8288420968833339
