season,week,game_id,home_team,away_team,vegas_spread,vegas_total,home_moneyline,away_moneyline,home_implied_prob
2023,6,18334,TEN,BAL,5.5,42.0,199.0,-255.0,0.3176875922860083
2023,6,18358,KC,DEN,-10.5,47.5,-633.0,454.0,0.8271153020647103
2023,6,18359,ATL,WAS,-1.5,42.0,-128.0,104.0,0.5338567222767419
2023,6,18360,CHI,MIN,3.0,44.5,135.0,-165.0,0.4059747223286097
2023,6,18361,CIN,SEA,-3.0,45.5,-154.0,127.0,0.5791775738096027
2023,6,18362,CLE,SF,9.5,36.0,382.0,-514.0,0.19861037431909634
2023,6,18363,MIA,CAR,-14.0,47.0,-1108.0,670.0,0.8759702657193315
2023,6,18364,TB,DET,3.0,43.0,135.0,-164.0,0.4065291037881121
2023,6,18365,JAX,IND,-4.0,44.0,-202.0,166.0,0.6401849115951008
2023,6,18366,HOU,NO,2.5,42.0,113.0,-136.0,0.44894232232536907
2023,6,18367,LV,NE,-3.0,41.5,-151.0,125.0,0.5751163774862462
2023,6,18368,LAR,ARI,-7.0,47.5,-330.0,258.0,0.7331512970088122
2023,6,18369,NYJ,PHI,6.5,43.5,238.0,-303.0,0.28238294771360906
2023,6,18370,BUF,NYG,-16.0,44.0,-1257.0,750.0,0.8873063987044804
2023,6,18371,LAC,DAL,1.5,49.5,101.0,-123.0,0.47423601216426003
